aX,aY,aZ,gX,gY,gZ
0.527,0.022,-0.922,7.690,18.494,4.883
0.490,0.020,-0.963,2.930,18.677,8.057
0.497,0.027,-1.003,4.883,18.555,8.118
0.490,0.068,-0.972,11.841,17.517,7.874
0.487,0.160,-0.934,18.799,13.184,11.719
0.478,0.225,-0.899,23.071,6.287,22.766
0.481,0.298,-0.865,26.367,0.610,33.569
0.483,0.336,-0.839,30.090,-3.052,39.368
0.502,0.347,-0.816,33.081,-3.296,39.734
0.535,0.377,-0.766,34.668,0.183,34.668
0.548,0.393,-0.704,35.156,3.113,28.870
0.519,0.422,-0.690,30.029,4.517,26.855
0.514,0.406,-0.712,21.057,5.188,28.503
0.556,0.336,-0.747,13.977,5.188,32.776
0.605,0.294,-0.771,11.353,4.883,36.804
0.624,0.250,-0.783,12.573,3.906,38.818
0.653,0.205,-0.798,14.404,2.258,39.856
0.667,0.115,-0.816,17.700,0.000,42.603
0.667,0.029,-0.839,24.658,-2.136,46.082
0.673,-0.037,-0.870,35.278,-2.502,50.720
0.671,-0.096,-0.880,48.950,-1.404,57.251
0.678,-0.164,-0.865,65.369,-0.549,64.514
0.667,-0.181,-0.819,83.069,2.686,72.815
0.674,-0.089,-0.720,97.412,12.085,81.055
0.702,0.088,-0.633,109.314,26.367,86.243
0.699,0.197,-0.515,113.403,41.260,85.938
0.605,0.284,-0.454,107.178,49.255,80.688
0.486,0.359,-0.448,93.262,47.058,80.261
0.395,0.381,-0.470,76.843,39.429,89.478
0.361,0.373,-0.517,65.063,32.349,101.318
0.330,0.322,-0.569,62.805,29.053,108.398
0.312,0.280,-0.573,70.374,33.081,105.164
0.312,0.321,-0.558,86.365,41.382,94.788
0.363,0.316,-0.533,106.079,54.138,85.632
0.460,0.286,-0.462,124.023,74.707,79.651
0.517,0.291,-0.374,136.963,103.027,75.745
0.456,0.311,-0.278,145.874,133.362,69.702
0.237,0.444,-0.279,159.424,154.480,54.321
0.053,0.601,-0.275,171.997,160.889,37.781
-0.036,0.660,-0.228,172.729,153.748,33.997
-0.091,0.729,-0.188,165.710,137.817,47.607
-0.115,0.783,-0.176,154.175,117.554,69.092
-0.062,0.788,-0.154,140.991,100.281,91.064

-0.959,1.206,0.832,179.687,149.292,81.848
-0.992,1.301,0.851,165.649,130.859,97.717
-0.852,1.291,0.862,155.029,125.305,106.140
-0.642,1.231,0.870,154.724,128.540,95.093
-0.379,1.072,0.908,163.513,139.832,71.228
-0.240,0.914,0.923,175.049,151.855,48.462
-0.183,0.885,0.878,184.937,160.522,30.334
-0.186,0.728,0.909,191.406,167.358,23.193
-0.301,0.667,0.888,189.880,158.691,28.198
-0.516,0.668,0.725,180.237,125.671,44.617
-0.658,0.501,0.571,171.509,79.285,66.772
-0.796,0.361,0.401,159.485,23.071,99.854
-0.919,0.375,0.381,149.109,-30.640,136.108
-1.226,0.646,0.552,148.987,-64.575,173.279
-1.029,0.911,0.607,154.236,-50.171,200.500
-0.600,0.903,0.726,164.917,-4.700,186.462
-0.274,0.798,0.852,182.434,39.673,136.719
-0.151,0.714,0.927,191.162,70.557,82.336
-0.216,0.514,0.916,188.965,84.900,42.297
-0.467,0.302,0.896,182.373,87.524,27.588
-0.683,0.116,0.898,177.246,79.651,34.790
-0.794,0.074,0.707,176.392,60.974,53.467
-0.791,0.081,0.749,183.594,47.058,78.674
-0.690,0.044,0.783,200.256,20.630,103.760
-0.734,-0.022,0.902,221.497,-11.780,134.033
-0.921,0.302,1.164,239.075,-29.907,166.016
-0.776,0.767,1.468,247.375,-14.343,187.866
-0.453,0.886,1.657,246.216,11.292,184.570
-0.338,0.939,1.811,218.384,39.856,165.527
-0.356,0.885,1.801,175.415,75.928,136.230
-0.257,0.721,1.656,144.165,121.643,103.088
-0.129,0.457,1.506,132.935,160.217,72.510
-0.157,0.132,1.406,132.263,184.448,52.673
-0.292,-0.014,1.213,136.963,200.623,46.082
-0.464,-0.145,1.020,149.048,207.825,45.227
-0.656,-0.177,0.971,162.231,207.092,44.739
-0.805,-0.062,0.935,170.166,190.674,49.866
-0.895,-0.057,0.965,176.697,163.269,65.918
-0.976,0.009,1.002,179.077,130.188,85.083
-0.956,-0.021,1.025,174.500,103.149,109.070
-0.844,0.109,1.120,165.771,92.407,135.986
-0.670,0.315,1.205,155.884,94.482,155.029
-0.482,0.454,1.304,139.893,110.352,152.710
-0.361,0.443,1.343,120.056,130.249,134.827
-0.270,0.299,1.374,104.248,157.715,113.098
-0.194,0.133,1.210,102.356,188.660,90.698
-0.284,-0.031,1.067,120.056,210.999,69.641
-0.468,-0.118,0.970,134.949,220.947,54.199
-0.527,-0.109,0.844,132.385,220.642,58.167
-0.605,-0.121,0.748,132.629,206.055,59.326
-0.712,-0.093,0.729,131.348,175.964,60.791
-0.873,0.100,0.764,112.793,128.357,65.369
-0.998,0.297,0.867,83.557,75.134,73.120
-0.877,0.411,0.992,55.054,28.503,76.965
-0.705,0.442,1.097,20.203,-5.005,77.637
-0.493,0.392,1.127,-11.841,-24.902,73.181
-0.266,0.240,1.114,-38.086,-33.875,61.707
-0.063,0.048,1.064,-53.894,-31.189,47.241
-0.005,-0.097,0.875,-55.725,-17.517,31.006
0.114,-0.351,0.954,-43.701,14.465,14.832
0.194,-0.481,0.828,-27.893,40.710,-3.845
0.144,-0.490,0.780,-12.695,62.500,-19.287
0.091,-0.369,0.691,2.930,73.303,-32.898
0.049,-0.355,0.752,20.752,75.745,-27.344
