aX,aY,aZ,gX,gY,gZ
0.337,0.229,1.064,52.490,-27.954,106.140
0.255,0.292,1.004,52.124,-8.789,89.966
0.218,0.319,1.052,59.082,6.226,67.322
0.261,0.376,1.137,64.758,13.062,44.434
0.295,0.408,1.223,65.796,9.460,30.151
0.290,0.379,1.237,59.814,-2.380,23.621
0.343,0.345,1.163,47.058,-15.015,16.296
0.473,0.289,1.042,32.593,-22.400,8.667
0.582,0.180,0.899,21.057,-26.123,2.625
0.667,0.104,0.781,10.498,-24.536,-2.563
0.708,0.050,0.746,3.601,-21.423,-3.479
0.750,-0.002,0.690,-1.404,-19.165,-1.404
0.766,-0.066,0.598,-5.127,-15.991,0.671
0.759,-0.082,0.547,-4.700,-11.841,1.221
0.738,-0.116,0.521,-0.793,-8.240,2.686
0.692,-0.118,0.550,5.493,-5.554,3.540
0.627,-0.102,0.621,11.719,-4.456,3.479
0.571,-0.065,0.743,16.785,-5.920,4.333
0.523,-0.038,0.825,16.602,-11.414,5.127
0.497,-0.007,0.900,12.817,-18.005,3.662
0.528,0.007,0.950,6.836,-21.851,1.282
0.591,-0.007,0.938,-0.183,-22.888,-0.183

0.172,-0.698,1.752,84.106,-97.351,147.339
0.207,-0.688,1.725,68.665,-98.206,153.137
0.169,-0.659,1.659,54.810,-97.778,161.438
0.093,-0.641,1.603,44.006,-95.703,169.006
0.003,-0.563,1.538,36.316,-92.712,173.279
-0.036,-0.571,1.573,32.654,-87.585,178.223
-0.104,-0.476,1.585,29.541,-88.745,180.969
-0.175,-0.429,1.551,24.109,-85.083,184.265
-0.163,-0.414,1.521,25.391,-70.801,182.922
-0.106,-0.388,1.489,30.090,-49.561,181.091
-0.037,-0.383,1.445,36.255,-24.170,183.472
0.039,-0.410,1.461,46.631,5.066,187.744
0.092,-0.457,1.497,56.091,37.048,193.970
0.073,-0.517,1.532,64.514,63.843,197.327
0.004,-0.497,1.598,69.885,81.848,192.993
-0.095,-0.379,1.710,67.139,90.637,188.293
-0.237,-0.304,1.806,56.519,84.106,194.397
-0.368,-0.227,1.745,38.086,69.580,202.271
-0.379,-0.194,1.624,18.860,62.805,201.660
-0.276,-0.234,1.454,4.761,62.927,197.327
