aX,aY,aZ,gX,gY,gZ
-1.120,1.308,0.291,95.093,-139.404,26.123
-1.130,1.281,0.448,127.808,-107.666,10.315
-0.888,1.205,0.673,153.564,-64.636,-2.136
-0.464,1.171,0.918,169.922,-19.287,-6.775
-0.098,1.119,1.222,179.138,12.024,2.991
0.182,0.967,1.391,178.955,26.123,29.175
0.263,0.729,1.504,170.471,24.597,61.523
0.169,0.583,1.458,155.945,11.536,88.318
-0.146,0.405,1.398,144.043,-5.493,101.440
-0.493,0.266,1.384,136.597,-9.583,101.501
-0.705,0.203,1.422,128.784,1.526,90.942
-0.840,0.158,1.534,118.347,23.499,72.083
-0.756,0.271,1.644,101.257,51.331,49.988
-0.445,0.383,1.711,80.566,73.425,27.649
-0.225,0.487,1.786,61.829,84.412,15.259
-0.176,0.537,1.887,41.870,91.431,15.869
-0.187,0.535,1.871,17.456,103.638,24.963
-0.208,0.605,1.784,-11.475,119.995,34.180
-0.167,0.770,1.724,-37.231,133.667,39.551

-0.141,0.843,1.505,-61.462,136.841,36.865
-0.215,0.882,1.415,-74.036,127.197,26.978
-0.434,0.847,1.241,-88.684,127.869,13.794
-0.467,0.949,1.134,-103.149,157.227,-3.601
-0.565,0.970,1.041,-117.493,177.612,-12.756
-0.396,0.946,0.970,-129.639,206.482,-13.733
-0.088,0.999,1.001,-147.217,250.244,-4.395
0.284,1.150,1.057,-168.823,290.527,16.296
0.552,1.259,1.030,-181.702,302.307,45.593
0.597,1.245,1.054,-182.800,286.194,81.421
0.462,1.206,1.186,-186.951,277.039,123.901
0.255,1.199,1.313,-202.515,290.894,167.725
0.048,1.078,1.302,-228.516,310.547,205.750
-0.208,0.924,1.133,-263.000,332.581,227.356
-0.577,0.933,0.854,-303.772,356.995,227.051
-0.885,1.033,0.582,-339.355,391.174,209.290
-1.111,1.214,0.393,-363.220,446.289,184.998
-1.187,1.442,0.177,-376.038,508.301,167.908
-1.181,1.842,-0.272,-380.737,565.918,169.800
-0.902,1.921,-0.485,-368.652,604.736,183.777
-0.696,1.744,-0.562,-339.294,632.202,200.012
-0.534,1.574,-0.599,-315.613,646.545,208.313
-0.383,1.300,-0.500,-299.438,636.108,198.059
