aX,aY,aZ,gX,gY,gZ
0.406,-0.398,0.877,-1.282,-10.986,-0.183
0.341,-0.408,0.844,-1.831,-10.986,-1.831
0.306,-0.436,0.845,-3.479,-8.118,-2.380
0.315,-0.440,0.886,-8.850,-5.615,0.000
0.347,-0.416,0.936,-17.456,-6.653,5.066
0.380,-0.350,1.001,-21.362,-5.981,4.944
0.452,-0.307,1.072,-21.729,-2.625,0.610
0.533,-0.264,1.101,-23.437,2.075,-4.456
0.574,-0.222,1.125,-26.306,1.465,-8.057
0.634,-0.170,1.159,-29.297,0.000,-9.949
0.673,-0.100,1.152,-29.663,-0.183,-10.193
0.689,-0.037,1.124,-24.353,-0.366,-10.193
0.698,-0.008,1.146,-18.555,2.991,-11.658
0.694,-0.006,1.185,-18.311,5.615,-11.230
0.723,-0.024,1.203,-22.644,6.775,-6.958
0.648,-0.031,1.239,-27.527,8.057,-0.488
0.611,-0.021,1.286,-32.288,10.132,-0.305
0.569,-0.011,1.340,-33.508,17.334,-4.089
0.521,0.001,1.366,-30.762,31.799,-7.019
0.505,-0.006,1.396,-24.841,56.824,-11.780
0.487,-0.042,1.451,-21.973,87.830,-16.235
0.495,-0.105,1.492,-23.193,122.681,-20.813
0.527,-0.129,1.484,-26.733,158.081,-23.254
0.680,-0.133,1.536,-30.396,185.974,-25.269
0.847,-0.118,1.533,-40.955,188.049,-22.278
0.928,-0.066,1.448,-55.115,165.710,-9.094
1.001,-0.068,1.426,-54.565,143.799,2.991
1.045,-0.106,1.384,-46.143,130.371,7.629
1.041,-0.195,1.314,-40.527,122.925,4.822
1.058,-0.329,1.185,-41.016,119.507,-1.282
1.050,-0.426,1.116,-53.345,106.567,-7.141
0.962,-0.405,1.092,-78.064,80.078,-10.803
0.869,-0.423,1.131,-94.421,68.604,-14.465
0.743,-0.451,1.151,-105.896,65.247,-22.156
0.763,-0.484,1.123,-110.535,76.843,-34.241
0.831,-0.443,1.168,-114.685,100.220,-44.128
0.887,-0.382,1.142,-124.084,120.300,-48.584
0.990,-0.341,1.145,-129.333,131.348,-48.706
1.151,-0.281,1.205,-127.686,138.489,-45.166
1.265,-0.227,1.303,-122.986,143.127,-37.781
1.369,-0.296,1.336,-111.206,146.484,-28.503
