aX,aY,aZ,gX,gY,gZ
0.152,-0.176,1.422,-154.419,-10.681,39.978
0.198,-0.172,1.394,-162.781,-3.906,42.114
0.162,-0.185,1.398,-174.561,3.113,44.067
0.146,-0.112,1.323,-190.186,12.634,48.218
0.098,-0.109,1.233,-202.393,22.766,50.903
0.070,-0.073,1.104,-212.891,27.710,50.110
0.037,-0.034,0.955,-221.497,30.762,46.143
-0.014,-0.012,0.821,-226.013,34.363,40.039
-0.063,0.049,0.718,-228.577,42.419,35.095
-0.117,0.083,0.595,-233.826,57.739,30.151
-0.151,0.132,0.480,-238.159,78.003,27.710
-0.127,0.193,0.402,-239.746,102.173,26.550
-0.058,0.237,0.394,-238.342,131.409,26.611
0.024,0.282,0.432,-234.619,162.415,29.785
0.116,0.307,0.491,-230.652,189.087,34.302
0.222,0.370,0.540,-227.661,204.285,39.001
0.339,0.400,0.577,-224.426,203.979,41.504
0.453,0.444,0.597,-219.177,190.002,42.297
0.509,0.489,0.587,-212.769,166.321,43.457
0.512,0.510,0.526,-205.444,136.047,46.204
0.500,0.523,0.451,-195.984,103.210,49.377
0.430,0.488,0.378,-183.472,72.632,50.964
0.342,0.507,0.314,-172.302,49.744,51.025
0.333,0.532,0.255,-165.955,39.001,50.171
0.312,0.537,0.212,-157.593,34.912,49.561
0.272,0.560,0.200,-149.841,34.729,50.354
0.201,0.581,0.212,-147.766,40.039,54.382
0.146,0.602,0.179,-151.123,50.720,62.378
0.156,0.620,0.134,-157.349,61.951,70.740
0.193,0.652,0.067,-158.691,67.993,74.829
0.254,0.703,0.026,-152.466,59.387,70.496
0.305,0.723,0.034,-137.146,41.382,63.904
0.314,0.703,0.020,-119.202,15.137,58.960
0.234,0.672,0.012,-106.506,-17.334,57.312
0.132,0.653,-0.040,-99.915,-44.250,56.824
0.051,0.640,-0.099,-94.788,-57.251,54.626
-0.018,0.625,-0.125,-91.614,-58.044,51.025
-0.091,0.616,-0.163,-93.689,-48.584,48.401
-0.163,0.663,-0.207,-100.891,-32.593,48.340
-0.205,0.685,-0.244,-109.131,-13.855,50.598
-0.179,0.718,-0.266,-113.220,5.554,51.758
-0.100,0.735,-0.253,-112.793,21.301,50.598
-0.006,0.751,-0.244,-109.985,24.170,47.485
0.061,0.767,-0.271,-103.882,14.832,44.434
0.096,0.796,-0.306,-94.421,-3.601,43.579
0.094,0.814,-0.317,-84.900,-30.273,44.922
0.067,0.814,-0.297,-77.454,-55.603,45.532
0.038,0.811,-0.321,-73.792,-70.984,44.495
0.019,0.788,-0.381,-72.327,-79.041,43.701
-0.054,0.799,-0.440,-70.313,-85.388,41.992
-0.156,0.869,-0.528,-68.848,-85.510,40.161
-0.247,0.904,-0.645,-69.702,-74.524,42.725
-0.322,0.904,-0.705,-69.702,-57.434,46.204
-0.378,0.877,-0.738,-65.857,-38.818,48.157
-0.393,0.866,-0.770,-59.631,-22.095,46.753
-0.375,0.866,-0.759,-49.988,-11.475,42.419

1.115,0.121,1.874,107.056,-18.982,6.226
0.894,-0.221,1.755,77.026,-31.250,33.875
0.649,-0.195,1.471,11.963,-11.719,37.048
0.439,-0.051,1.179,-33.081,2.991,26.489
0.262,0.019,0.964,-45.715,8.789,16.418
0.179,0.056,0.791,-42.480,7.446,8.667
0.163,0.070,0.658,-30.151,5.005,0.610
0.195,0.074,0.600,-16.479,4.761,-6.470
0.257,0.096,0.616,-7.751,8.057,-11.536
0.378,0.142,0.655,-5.066,17.395,-12.695
0.492,0.170,0.712,-2.747,19.165,-8.362
0.529,0.128,0.744,4.883,10.498,-3.723
0.525,0.101,0.768,12.024,-1.038,-2.869
0.521,0.116,0.812,13.306,-5.310,-2.991
0.535,0.114,0.861,11.597,-3.662,-0.793
0.536,0.090,0.889,10.437,-0.488,3.174
0.528,0.072,0.901,8.179,1.221,5.066
0.506,0.061,0.898,6.775,1.099,5.371
0.470,0.054,0.883,5.859,-1.648,4.272
0.430,0.049,0.862,5.798,-2.502,3.662
0.405,0.044,0.850,4.883,0.061,3.906
0.408,0.045,0.850,3.418,3.784,4.700
0.422,0.048,0.852,1.648,5.615,5.554
0.419,0.048,0.855,0.793,5.493,5.005
0.432,0.054,0.853,0.366,4.944,3.418
0.453,0.067,0.851,-0.610,5.249,2.258
0.467,0.077,0.849,-1.770,5.310,1.770
0.475,0.089,0.840,-2.686,5.798,1.404
0.493,0.100,0.831,-4.028,7.446,1.831
0.499,0.110,0.823,-5.005,9.155,2.502
0.498,0.120,0.819,-5.005,10.559,3.601
0.490,0.120,0.816,-4.028,9.460,4.822
0.479,0.123,0.810,-2.197,6.653,4.944
0.461,0.119,0.802,-0.916,4.700,4.150
0.454,0.119,0.803,0.000,3.845,3.601
0.458,0.121,0.809,0.305,4.333,2.808
0.468,0.120,0.816,0.305,5.188,2.258
0.484,0.120,0.829,0.854,6.470,1.831
0.495,0.126,0.833,0.549,6.775,1.465
0.492,0.123,0.833,0.977,5.432,1.526
0.479,0.111,0.827,1.892,3.601,1.465
0.468,0.106,0.823,2.380,3.235,0.916
0.464,0.110,0.818,2.136,3.479,0.183
0.466,0.114,0.814,2.075,3.784,-0.183
0.479,0.115,0.811,2.319,3.662,0.000
0.487,0.116,0.817,2.869,3.235,0.549
0.489,0.116,0.825,3.845,2.686,1.526
0.480,0.107,0.833,4.150,2.014,2.808
0.471,0.095,0.838,3.967,2.380,4.089
0.473,0.090,0.845,3.113,3.296,4.456
0.468,0.089,0.848,2.319,3.723,4.150
0.460,0.089,0.845,2.136,3.845,3.723
0.458,0.087,0.838,2.197,3.357,2.991
0.456,0.096,0.830,2.014,2.869,2.502
0.452,0.107,0.823,1.587,4.211,2.380
0.468,0.114,0.819,1.160,6.226,2.686
0.473,0.113,0.822,1.099,7.263,4.089
0.479,0.107,0.828,1.343,7.507,4.700
0.478,0.104,0.835,1.831,7.080,4.822
0.478,0.105,0.838,1.770,6.653,4.517
0.472,0.107,0.837,1.404,5.676,3.845
0.470,0.107,0.831,1.038,4.761,3.418
0.469,0.109,0.824,0.610,4.395,2.869
0.476,0.115,0.819,0.549,4.517,2.502
0.488,0.114,0.819,0.732,4.456,2.197
0.497,0.114,0.819,1.648,3.662,2.014
0.492,0.115,0.820,2.502,2.563,1.709
0.485,0.116,0.814,2.686,2.319,1.770
0.484,0.110,0.815,2.869,3.174,2.502
0.486,0.102,0.822,2.747,3.479,2.502
0.480,0.106,0.824,3.845,2.991,1.526
0.477,0.109,0.822,4.028,1.953,1.221
0.479,0.103,0.820,4.089,1.770,1.831
0.484,0.102,0.820,4.150,2.197,2.075
0.492,0.105,0.822,3.357,2.625,2.502
0.497,0.101,0.828,3.418,2.991,3.113
0.497,0.094,0.840,3.967,3.113,3.479
0.503,0.090,0.860,4.211,2.869,3.723
0.528,0.089,0.878,4.028,2.197,3.540
0.561,0.087,0.896,3.906,-0.061,3.784
0.574,0.088,0.915,3.601,-3.479,4.211
0.569,0.113,0.939,2.502,-6.653,5.798
0.581,0.104,0.945,0.244,-10.376,8.362
0.601,0.101,0.971,-1.587,-15.381,10.193
0.632,0.110,1.016,-3.235,-20.691,10.803
0.688,0.119,1.103,-5.188,-24.292,13.000
0.733,0.105,1.231,-9.521,-29.053,18.372
0.752,0.050,1.354,-17.029,-33.447,25.940
0.811,0.012,1.434,-29.114,-34.241,32.166
0.826,0.038,1.481,-44.983,-35.156,37.048
0.849,0.067,1.463,-59.021,-38.269,41.443
0.844,0.094,1.470,-67.810,-45.837,45.715
0.815,0.105,1.461,-72.571,-54.688,49.255
0.786,0.109,1.441,-76.050,-65.308,51.270
0.744,0.118,1.417,-78.735,-75.989,50.720
0.722,0.135,1.393,-80.872,-84.717,49.133
0.690,0.162,1.380,-83.618,-91.736,48.950
0.633,0.172,1.375,-86.304,-96.558,51.208
0.577,0.169,1.340,-92.896,-97.778,55.481
0.529,0.168,1.300,-102.600,-96.130,61.279
0.465,0.188,1.270,-111.877,-91.370,66.833
0.425,0.190,1.234,-119.507,-85.510,69.641
0.397,0.212,1.184,-126.343,-79.834,70.313
0.357,0.243,1.115,-132.202,-75.378,69.641
0.304,0.275,1.072,-134.094,-75.684,67.993
0.248,0.271,1.013,-133.667,-66.101,68.359
0.235,0.249,1.005,-132.080,-52.124,62.988
0.257,0.269,1.005,-133.118,-44.556,55.420
0.264,0.278,0.965,-136.841,-41.138,51.025
0.242,0.320,0.922,-141.357,-40.527,50.659
0.248,0.346,0.880,-145.203,-35.095,53.894
0.257,0.345,0.866,-148.010,-29.663,58.167
0.256,0.328,0.847,-149.414,-25.696,60.486
0.238,0.324,0.812,-151.733,-25.635,59.509
0.217,0.337,0.764,-155.701,-28.442,57.251
0.179,0.371,0.698,-160.095,-28.381,55.786
0.140,0.398,0.610,-163.025,-24.963,53.894
0.129,0.431,0.547,-162.903,-19.592,52.124
0.142,0.445,0.522,-159.851,-14.709,50.293

-0.449,-0.814,1.449,31.982,-86.731,22.705
-0.349,-0.511,1.339,-13.550,-27.100,5.371
-0.136,-0.251,1.252,-33.142,23.682,-4.272
-0.069,-0.262,1.141,-37.903,46.204,0.977
-0.062,-0.298,1.031,-42.542,51.270,5.249
-0.029,-0.198,0.943,-44.678,53.650,2.441
-0.006,-0.130,0.836,-42.358,52.551,-1.038
0.061,-0.051,0.791,-37.537,45.410,-1.953
0.108,0.020,0.795,-28.076,34.668,1.160
0.104,-0.053,0.786,-13.184,17.761,4.333
0.021,-0.168,0.803,0.793,-2.441,4.761
-0.036,-0.186,0.813,7.263,-11.475,1.709
-0.050,-0.181,0.819,9.644,-8.545,-1.709
-0.026,-0.209,0.858,11.414,-1.587,-1.587
0.014,-0.241,0.916,11.414,6.226,0.854
0.045,-0.254,0.957,9.888,11.047,3.235
0.036,-0.260,0.971,6.775,10.803,5.554
0.004,-0.271,0.961,3.418,7.507,8.118
-0.036,-0.277,0.942,0.549,5.127,9.338
-0.057,-0.279,0.918,-1.831,5.066,8.789
-0.060,-0.269,0.900,-3.479,7.141,7.629
-0.047,-0.250,0.878,-4.089,9.216,6.104
-0.036,-0.241,0.883,-2.808,9.399,4.517
-0.026,-0.240,0.876,0.549,7.874,3.723
-0.037,-0.245,0.887,3.601,5.127,2.380
-0.027,-0.245,0.894,5.493,3.601,1.404
-0.022,-0.247,0.897,6.897,4.028,0.977
-0.020,-0.240,0.904,7.690,3.967,1.221
-0.018,-0.232,0.910,7.874,4.333,1.526
-0.006,-0.229,0.901,8.057,5.005,1.587
0.004,-0.222,0.904,9.094,4.822,1.282
0.020,-0.229,0.928,10.803,5.127,1.465
0.061,-0.242,0.960,11.597,3.967,2.625
0.075,-0.208,1.056,10.925,-1.526,4.639
0.060,-0.263,1.138,13.794,-9.705,6.165
-0.021,-0.339,1.098,12.146,-15.930,6.714
-0.069,-0.298,1.059,4.028,-14.038,4.089
-0.067,-0.250,1.019,-2.502,-5.066,0.488
-0.037,-0.224,0.989,-4.578,4.517,-0.549
-0.012,-0.218,0.959,-5.066,10.925,0.000
0.011,-0.189,0.924,-4.700,12.878,0.122
0.018,-0.176,0.935,-2.686,10.071,-0.488
0.033,-0.182,0.919,0.061,7.690,-0.183
0.016,-0.183,0.902,2.136,3.967,0.183
-0.003,-0.173,0.891,4.578,1.709,-0.122
0.008,-0.190,0.920,5.920,1.221,-0.488
0.036,-0.195,0.938,7.263,2.441,0.671
0.023,-0.198,0.944,8.179,1.526,2.441
0.013,-0.218,0.959,8.179,-0.610,3.235
0.008,-0.225,0.964,7.507,-1.404,3.418
0.004,-0.231,0.969,6.104,-0.916,3.235
0.004,-0.242,0.972,5.066,-0.549,3.052
-0.001,-0.240,0.966,4.028,-0.854,2.930
-0.011,-0.241,0.963,3.540,-1.343,2.930
0.001,-0.246,0.958,2.808,-1.221,3.174
-0.013,-0.239,0.947,1.526,-2.319,3.662
